id,name,rank,parent_id,size
69569,Ranellidae,7,216294,54
69584,Epitoniidae,7,3696304,58
69587,Charopidae,7,6527,142
69595,Eulimidae,7,216294,80
69649,Mitridae,7,6479,142
69657,Hyphomonadaceae,7,2800060,230
69672,Pseudococculinidae,7,2315723,21
69676,Lottiidae,7,3696304,190
69683,Ellobiidae,7,2340871,159
69687,Architectonicidae,7,3696304,56
69691,Vermetidae,7,216294,68
69694,Strombidae,7,216294,94
69697,Amphibolidae,7,3696304,17
69701,Cerithiidae,7,3696304,96
69707,Cyclophoridae,7,75116,266
69815,Cycliophora,4,33208,14
69973,Closteroviridae,7,2732544,149
70129,Climaciaceae,7,13798,5
70139,Schistostegaceae,7,3219,1
70160,Anguillicolidae,7,6236,5
70187,Olpidiaceae,7,2202808,9
70208,Ptilidiaceae,7,984499,6
70209,Pseudolepicoleaceae,7,3199,6
70210,Cephaloziaceae,7,3199,60
70219,Monhysterida,6,119089,596
70224,Aphelenchidae,7,6236,67
70232,Mononchida,6,119088,183
70242,Chromadorida,6,119089,603
70320,Eriophyidae,7,83136,1355
70381,Corduliidae,7,6961,213
70408,Mycotyphaceae,7,4827,6
70409,Pilobolaceae,7,4827,12
70410,Radiomycetaceae,7,4827,3
70417,Chordodidae,7,190558,25
70537,Caudosporidae,7,3696302,4
70555,Geocalycaceae,7,3199,2
70602,Pachnocybaceae,7,432046,4
70832,Takakiales,6,113510,4
70833,Takakiaceae,7,70832,3
70846,Uranoscopidae,7,1489926,52
70849,Nudibranchia,6,6448,2217
70851,Tritoniidae,7,70849,76
70895,Coenagrionidae,7,6961,1107
70907,Prophalangopsidae,7,6993,9
70914,Ommexechidae,7,6993,6
70920,Hodotermitidae,7,85823,14
71175,Corellidae,7,7716,12
71187,Canellales,6,3398,124
71195,Lycidae,7,7041,2119
71239,Cucurbitales,6,3398,2077
71243,Oxalidales,6,3398,1132
71283,Onchidorididae,7,70849,47
71286,Goniodorididae,7,70849,133
71291,Pleurobranchidae,7,2340904,64
71294,Chromodorididae,7,70849,395
71300,Dendronotidae,7,70849,53
71304,Dendrodorididae,7,70849,38
71317,Polyceridae,7,70849,121
71377,Phyllidiidae,7,70849,70
71399,Pallaviciniaceae,7,402723,43
71419,Polydesmida,6,7553,992
71456,Oxymitraceae,7,28908,2
71468,Dotidae,7,70849,80
71474,Heroidae,7,70849,1
71478,Arminidae,7,70849,86
71483,Flabellinidae,7,70849,26
71489,Rhagophthalmidae,7,7041,33
71492,Plakobranchidae,7,3696304,211
71495,Limapontiidae,7,3696304,68
71499,Akeridae,7,6497,1
71503,Philinidae,7,69554,76
71507,Diaphanidae,7,69554,8
71511,Acteonidae,7,3696304,20
71514,Clionidae,7,977783,31
71583,Balantidiidae,7,33833,27
71586,Tracheliidae,7,5989,6
71589,Cycloposthiidae,7,40634,19
71592,Macropodiniidae,7,40634,2
71598,Graphidaceae,7,38074,1324
71619,Bresiliidae,7,6683,3
71672,Elassomatidae,7,1489940,7
71810,Provannidae,7,3696304,345
71934,Entolomataceae,7,5338,1767
72025,Fabales,6,3398,17100
72033,Siphonostomatoida,6,72037,513
72034,Caligidae,7,72033,197
72037,Hexanauplia,5,6656,5102
72039,Mystacocarida,5,6656,3
72040,Cephalocarida,5,6656,10
72045,Syngnathidae,7,129912,607
72048,Nymphonidae,7,373319,105
72049,Daesiidae,7,41356,39
72117,Omphalotaceae,7,5338,698
72179,Esperiopsidae,7,27925,10
72205,Alaudidae,7,9126,104
72220,Thelohaniidae,7,3696302,9
72273,Thiotrichales,6,1236,820
72274,Pseudomonadales,6,1236,32491
72275,Alteromonadaceae,7,135622,1926
72276,Ectothiorhodospiraceae,7,135613,384
72293,Helicobacteraceae,7,213849,323
72294,Campylobacteraceae,7,213849,1520
72383,Caryocaraceae,7,3646,9
72552,Pyrophacaceae,7,40984,10
72685,Nacellidae,7,3696304,57
72688,Lepetidae,7,3696304,12
72801,Sesarmidae,7,6683,278
72876,Varunidae,7,6683,129
72984,Ceratostomataceae,7,252166,66
73020,Isochrysidales,6,3696438,102
73026,Pavlovales,6,3435358,70
73027,Coccosphaerales,6,3696438,16
73028,Prymnesiales,6,3696438,115
73096,Galaxauraceae,7,2807,66
73111,Athoracophoridae,7,6527,2
73114,Succineidae,7,6527,185
73249,Pucciniastraceae,7,5258,67
73325,Aegithalidae,7,9126,18
73338,Gorgoderidae,7,27871,91
73341,Tandanicolidae,7,6180,4
73345,Opecoelidae,7,27871,233
73348,Bucephalidae,7,6180,88
73359,Faustulidae,7,27871,24
73364,Brachylaimidae,7,2717078,27
73367,Zoogonidae,7,27871,29
73370,Gymnophallidae,7,3696344,49
73401,Cynipidae,7,7399,1657
73421,Dicrocoeliidae,7,27871,107
73496,Asparagales,6,3398,18322
73651,Amphoriscidae,7,86011,16
73655,Grantiidae,7,86011,41
73792,Corallistidae,7,1779164,60
73798,Vetulinidae,7,1779160,8
73894,Gyrodontaceae,7,68889,15
73920,Cyatholaimidae,7,70242,141
73923,Xyalidae,7,70219,255
73927,Oncholaimidae,7,57287,216
73930,Desmodorida,6,119089,496
73931,Chromadoridae,7,70242,387
74015,Candidatus Latescibacterota,4,3379134,33
74048,Bursidae,7,216294,41
74056,Columbellidae,7,6479,188
74074,Veronicellidae,7,36931,43
74152,Elusimicrobiota,4,3379134,199
74201,Verrucomicrobiota,4,3379134,1711
74353,Salviniales,6,241806,89
74469,Cladostephaceae,7,27945,3
74472,Cutleriales,6,2870,14
74473,Cutleriaceae,7,74472,11
74476,Himanthaliaceae,7,3009,1
74488,Thryonomyidae,7,9989,8
74539,Makinoaceae,7,186784,2
74540,Corsiniaceae,7,28908,3
74541,Riellaceae,7,37407,12
74712,Frankiaceae,7,85013,641
74795,Desmodoridae,7,73930,243
74973,Lycosidae,7,6893,635
75055,Dysderidae,7,6893,237
75116,Architaenioglossa,6,6448,967
75187,Agaonidae,7,7399,1332
75200,Eurytomidae,7,7399,1259
75207,Epichrysomallidae,7,7399,118
75380,Drepaneidae,7,1489930,3
75381,Ephippidae,7,1489930,15
75382,Siganidae,7,3696313,35
75383,Zanclidae,7,1489937,1
75390,Stomatopoda,6,6681,335
75391,Gonodactylidae,7,75390,48
75394,Amphionidacea,6,6681,1
75395,Bathynellacea,6,6681,463
75396,Anaspidacea,6,6681,24
75397,Mictacea,6,6681,2
75398,Tanaidacea,6,6681,276
75399,Mysida,6,6681,259
75400,Lophogastrida,6,6681,18
75401,Spelaeogriphacea,6,6681,2
75402,Thermosbaenacea,6,6681,27
75423,Mayacaceae,7,38820,4
75428,Thurniaceae,7,38820,8
75435,Xyridaceae,7,38820,43
75545,Ptiliidae,7,7041,350
75557,Physalopteridae,7,6236,73
75682,Oxalobacteraceae,7,80840,3042
75739,Eucoccidiorida,6,1280412,1851
75787,Rhodocyclaceae,7,206389,378
75882,Lubomirskiidae,7,1779161,45
75966,Trebouxiophyceae,5,3041,4487
75967,Dendrocolaptidae,7,9126,59
76071,Beloniformes,6,186623,456
76072,Exocoetidae,7,76071,86
76265,Mesometridae,7,27871,7
76493,Lampropidae,7,27412,28
76657,Dermateaceae,7,5178,350
76780,Tetillidae,7,1779164,115
76784,Clionaidae,7,1779155,79
76803,Arteriviridae,7,76804,60
76804,Nidovirales,6,2732506,1791
76828,Ascoseirales,6,2870,1
76838,Doliolida,6,30304,11
76839,Doliolidae,7,76838,7
76842,Pyrosomata,6,30304,11
76843,Pyrosomatidae,7,76842,10
76892,Caulobacteraceae,7,204458,2561
76914,Cirrhitidae,7,1489940,28
76917,Cheilodactylidae,7,1489940,28
77029,Phaeothamniales,6,82162,11
77031,Phaeothamniaceae,7,77029,11
77177,Calthropellidae,7,1779164,4
77184,Ancorinidae,7,1779164,74
77187,Pachastrellidae,7,1779164,17
77335,Dasypogonaceae,7,40551,8
77569,Lumbriculidae,7,85671,199
77572,Halictidae,7,7399,1467
77654,Sididae,7,84337,137
77658,Daphniidae,7,84337,645
77660,Polyphemidae,7,84337,16
77667,Lynceidae,7,84337,29
77685,Anaspididae,7,75396,14
77692,Lysiosquillidae,7,75390,11
77702,Limnadiidae,7,84337,119
77705,Leptodoridae,7,84337,27
77709,Holopediidae,7,84337,5
77713,Chydoridae,7,84337,467
77746,Cercopagididae,7,84337,6
77757,Macrotrichidae,7,84337,47
77786,Polyartemiidae,7,6659,2
77787,Cyclestheriidae,7,84337,1
78060,Parmeliaceae,7,5197,1753
78093,Mictyridae,7,6683,6
78204,Neomorphidae,7,8940,10
78238,Macrodasyida,6,3696422,215
78391,Siluaniidae,7,33651,12
78516,Didymozoidae,7,36660,185
78899,Zoopagales,6,2233521,97
78902,Zoopagaceae,7,78899,17
78903,Piptocephalidaceae,7,78899,72
78904,Helicocephalidaceae,7,78899,1
78905,Sigmoideomycetaceae,7,78899,2
78918,Dimargaritales,6,2219692,9
78919,Dimargaritaceae,7,78918,9
79272,Monoblepharidales,6,451454,60
79273,Monoblepharidaceae,7,79272,31
79303,Tanyderidae,7,7147,7
79304,Ptychopteridae,7,7147,30
79705,Symphypleona,6,30001,4367
79708,Neelipleona,6,30001,113
